game_id,season_id,year,phase,date,group,team,team_id,side,opponent,runs_scored,runs_allowed,hits,errors,win
WEVRw,CPBL-2024-xa,2024,一軍,2024-05-30,例行賽,中信兄弟,M45m3,home,富邦悍將,6,8,12,0,0
WEVRw,CPBL-2024-xa,2024,一軍,2024-05-30,例行賽,富邦悍將,uIOrj,away,中信兄弟,8,6,9,0,1
OIU0x,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,中信兄弟,M45m3,home,富邦悍將,3,4,10,0,0
OIU0x,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,富邦悍將,uIOrj,away,中信兄弟,4,3,9,0,1
nmMUE,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,統一7-ELEVEn獅,GyWE7,home,樂天桃猿,3,5,8,0,0
nmMUE,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,樂天桃猿,Iqkqa,away,統一7-ELEVEn獅,5,3,8,0,1
dKQOI,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,味全龍,BNi6c,home,台鋼雄鷹,0,6,4,0,0
dKQOI,CPBL-2024-xa,2024,一軍,2024-05-29,例行賽,台鋼雄鷹,U64ee,away,味全龍,6,0,9,0,1
LW7cB,CPBL-2024-xa,2024,一軍,2024-05-28,例行賽,味全龍,BNi6c,home,台鋼雄鷹,8,1,10,0,1
LW7cB,CPBL-2024-xa,2024,一軍,2024-05-28,例行賽,台鋼雄鷹,U64ee,away,味全龍,1,8,10,0,0
jMnjB,CPBL-2024-xa,2024,一軍,2024-05-26,例行賽,統一7-ELEVEn獅,GyWE7,home,中信兄弟,4,0,9,0,1
jMnjB,CPBL-2024-xa,2024,一軍,2024-05-26,例行賽,中信兄弟,M45m3,away,統一7-ELEVEn獅,0,4,3,0,0
91bJ7,CPBL-2024-xa,2024,一軍,2024-05-26,例行賽,樂天桃猿,Iqkqa,home,味全龍,5,4,10,0,1
91bJ7,CPBL-2024-xa,2024,一軍,2024-05-26,例行賽,味全龍,BNi6c,away,樂天桃猿,4,5,7,0,0
